# Fallback API/Technical Antonym Pairs
# Used when NLTK WordNet is not available
# Format: word:antonym1,antonym2,antonym3
# One pair per line

create:delete,remove,destroy
add:remove,delete,subtract
get:delete,remove,destroy
list:delete,remove,destroy
show:hide,conceal,obscure
enable:disable,deactivate
activate:deactivate,disable
start:stop,halt,terminate
connect:disconnect,separate
allow:deny,block,forbid
grant:revoke,deny
lock:unlock,release
encrypt:decrypt,decipher
compress:decompress,expand
archive:extract,unpack
import:export,send
upgrade:downgrade,rollback
deploy:undeploy,remove
backup:restore,recover
sync:desync,unsync
validate:invalidate,reject
authenticate:deauthenticate,logout
authorize:unauthorize,revoke
cache:uncache,flush
refresh:expire,stale
renew:expire,terminate
clean:dirty,contaminate
purge:restore,recover
flush:retain,keep
clear:fill,populate
online:offline,disconnected
active:inactive,idle
enabled:disabled,deactivated
available:unavailable,busy
valid:invalid,rejected
authenticated:unauthenticated,anonymous
authorized:unauthorized,forbidden
public:private,restricted
secure:insecure,vulnerable
encrypted:decrypted,plain
compressed:decompressed,expanded
archived:extracted,active
cached:uncached,fresh
expired:fresh,valid
fresh:stale,expired
dirty:clean,pristine
empty:full,populated
partial:complete,full
complete:incomplete,partial
incomplete:complete,full
pending:completed,processed
processing:completed,idle
completed:pending,processing
failed:succeeded,successful
successful:failed,unsuccessful
error:success,normal
warning:info,normal
critical:normal,minor
important:unimportant,trivial
urgent:normal,routine
normal:abnormal,unusual
abnormal:normal,usual
expected:unexpected,surprising
unexpected:expected,predictable
required:optional,unnecessary
optional:required,mandatory
mandatory:optional,voluntary
forbidden:allowed,permitted
allowed:forbidden,blocked
blocked:allowed,permitted
suspended:active,resumed
terminated:running,active
running:stopped,terminated
stopped:running,active
paused:resumed,running
resumed:paused,stopped
restarted:stopped,terminated
initialized:uninitialized,raw
configured:unconfigured,default
deployed:undeployed,removed
migrated:unmigrated,original
backed:unbacked,original
restored:unrestored,backup
synced:unsynced,desynced
exported:imported,local
imported:exported,external
validated:unvalidated,raw
tested:untested,raw
verified:unverified,unchecked
checked:unchecked,raw
monitored:unmonitored,ignored
logged:unlogged,silent
traced:untraced,hidden
debugged:undebugged,raw
profiled:unprofiled,raw
optimized:unoptimized,raw
scaled:unscaled,original
resized:unresized,original
allocated:unallocated,free
released:unreleased,held
locked:unlocked,free
unlocked:locked,secured
granted:revoked,denied
revoked:granted,approved
authenticated:unauthenticated,anonymous
authorized:unauthorized,forbidden
encrypted:decrypted,plain
decrypted:encrypted,secure
compressed:decompressed,expanded
decompressed:compressed,packed
archived:extracted,active
extracted:archived,packed
parsed:unparsed,raw
formatted:unformatted,raw
encoded:decoded,plain
decoded:encoded,encrypted
serialized:deserialized,raw
deserialized:serialized,packed
cached:uncached,fresh
refreshed:expired,stale
expired:fresh,valid
renewed:expired,terminated
rotated:unrotated,static
cleaned:dirty,contaminated
purged:unpurged,retained
flushed:unflushed,retained
cleared:uncleared,filled
updated:outdated,old
upgraded:downgraded,rolled
downgraded:upgraded,new
rolled:unrolled,current
migrated:unmigrated,original
deployed:undeployed,removed
released:unreleased,held
built:unbuilt,raw
staged:unstaged,raw
produced:unproduced,raw
developed:undeveloped,raw
tested:untested,raw 
